"category","feature_name","group_name","coefficient","absolute_coefficient","information_value","distinct_observed_values","dominant_bin_share_train","missing_rate"
"volume_price_behavior","weekly_volume_price_confirmation","V","0.6283768079818225","0.6283768079818225","0.0973799881677106","3","0.5990783410138248","0.0"
"volume_price_behavior","weekly_volume_accumulation_52w","V","0.7718631900836561","0.7718631900836561","0.07513439146189174","128","0.6405529953917051","0.0"
"volume_price_behavior","weekly_volume_accumulation_26w","V","-0.0493524975324682","0.0493524975324682","0.07171991234632208","117","0.6774193548387096","0.0"
"volume_price_behavior","weekly_high_volume_low_price_signal","V","0.4447122338182819","0.4447122338182819","0.0630549343219158","2","0.9170506912442397","0.0"
"volume_price_behavior","weekly_high_volume_breakout_signal","V","0.06548616957546866","0.06548616957546866","0.000982633552113474","2","0.8202764976958525","0.0"
"volume_behavior","weekly_volume_ratio_4w","V","0.33780436957252746","0.33780436957252746","0.09552775739108905","244","0.33640552995391704","0.0"
"volume_behavior","weekly_volume_ratio_26w","V","-0.35590101868893526","0.35590101868893526","0.056738930345605704","244","0.33640552995391704","0.0"
"volume_behavior","weekly_volume_ratio_52w","V","0.443553109956188","0.443553109956188","0.056738930345605704","244","0.33640552995391704","0.0"
"volume_behavior","weekly_down_day_volume_share","V","2.067221621569418","2.067221621569418","0.04242544719399398","221","0.391705069124424","0.0"
"volume_behavior","weekly_volume_ratio_13w","V","-0.6637315559265616","0.6637315559265616","0.040794726866927936","244","0.33640552995391704","0.0"
"volume_behavior","weekly_up_day_volume_share","V","-0.4723091247857106","0.4723091247857106","0.030406275340418856","234","0.3548387096774194","0.0"
"price_behavior","weekly_spot_return_p10","W","2.0828027643987017","2.0828027643987017","0.04983298649783179","243","0.33640552995391704","0.0"
"price_behavior","weekly_spot_return_p25","W","0.5022578604707167","0.5022578604707167","0.04815172233555072","241","0.33640552995391704","0.0"
"price_behavior","weekly_spot_drawdown","W","0.3502263831602044","0.3502263831602044","0.0356299623119869","243","0.33640552995391704","0.0"
"price_behavior","weekly_spot_return_p75","W","0.059185097978036706","0.059185097978036706","0.02920320339603015","244","0.33640552995391704","0.0"
"price_behavior","weekly_price_position_52w","V","0.6938429413996073","0.6938429413996073","0.023023929101028323","201","0.3824884792626728","0.0"
"price_behavior","weekly_spot_rebound","W","0.3825972236773495","0.3825972236773495","0.02168325109079855","119","0.4608294930875576","0.0"
"price_behavior","weekly_spot_close_position","W","0.3825972236773495","0.3825972236773495","0.02168325109079855","119","0.4608294930875576","0.0"
"price_behavior","weekly_spot_return_min","W","-1.8650358826438114","1.8650358826438114","0.01983521169632518","244","0.33640552995391704","0.0"
"price_behavior","weekly_spot_return_p90","W","1.339236262759319","1.339236262759319","0.01892682229403135","243","0.33640552995391704","0.0"
"price_behavior","weekly_spot_return_max","W","1.6108950696365933","1.6108950696365933","0.004724199913540131","244","0.33640552995391704","0.0"
"price_behavior","weekly_spot_return_p50","W","-0.11655931642203493","0.11655931642203493","0.004724199913540131","241","0.33640552995391704","0.0"
